API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123374050000,4279,966.2460000000001,566.3409,1503.692860469758,1493.7076476282668,1605.948999656668
05123373970000,2857,1137.5819999999999,939.1665,3376.919113858835,4285.489785227866,4974.052004333694
05123373020000,4012,444.5407,604.1906,2392.60200031751,2388.492417484388,2252.484107881256
05123372110000,3853,923.4666,618.5748,2330.008045052292,2508.501228501228,2445.105716523101
05123370630000,4089,946.7233,518.202,3516.6600946372228,3629.576768952077,3430.0019331142466
05123384120000,4519,546.043,855.2141,2399.269311064718,2495.730933425637,2607.99308705984
05123369110000,4663,804.0836,1164.6,7721.715134790914,6670.34632034632,6737.299412915851
05123369010000,4172,562.7493,150.7629,5195.436241610738,5987.253569000679,5326.901752051452
05123366510000,9039,1357.7,787.8897,2137.3414926503046,2094.998539482652,2118.245277548562
05123390280000,3587,,,4489.545303684035,4615.588208451219,4721.0921132662015
05123349910100,2550,,801.4464,605.03144654088,604.967948717948,556.853103872157
05005073270100,9238,,,1566.0427705561692,1570.093985492929,1333.200803133013
05005072310000,7584,1206.58,1120.953,1407.286821705426,1332.647405822152,1501.76321379225
05123392450000,7863,,,3591.5545941879054,3530.7201889020066,3606.988073240383
05005071910000,3775,1762.621,1907.35,2549.69280809541,2768.5665712240507,2897.913369889228
05001099980000,9553,,,1253.664103796251,1253.664103796251,1253.664103796251
05123381010000,4174,522.3016,822.4313,2148.159122897992,2313.093762907889,2564.422897631922
05123379910100,6245,811.9922,771.9777,1963.599262769878,1831.825179288852,1541.6148450325852
05123393580100,6922,779.9822,,2585.085085085085,2272.508682874699,1974.683544303797
05123379680000,4100,1045.883,651.9259999999999,3124.5378927911265,3142.038640906062,3065.7139981885884
05123378600000,7025,669.3849,701.5326,5163.852852319174,5657.094594594593,5881.033310673011
05123378400000,6381,898.5591,851.9421,2758.77280930419,2544.2516268980467,2535.880136686234
05123395980000,4235,462.5712,397.0873,4635.383203304268,4269.718403843587,4417.480667480667
05123378130000,4270,836.6346,561.5333,2474.170824772527,2063.722750139742,1977.609509851815
05123377400000,4366,996.0829,643.8172,3882.8245451742214,4552.950853382685,4664.238303383519
05123399110000,4217,892.6702,594.5857,2742.578025881755,3363.3814102564097,3723.00469483568
05123381330000,4370,943.5519,1143.5710000000001,4671.019181881211,5402.147458840372,5657.539466521502
05123376130000,3892,1285.128,6.217029,2366.3060278207104,2490.536886828891,2767.488489529184
05123400200000,3659,1143.638,824.1722,996.7958987503999,1284.93632348527,1434.513152458339
05069064600100,9751,,,2187.325079455433,2371.251127979192,2214.412599578793
05123381500000,4600,1030.663,721.3915,4676.482252627404,4514.226782314364,4853.042390114187
05123401190000,9231,,,2245.7570343903517,2561.813368630046,2743.3279513724
05123401200000,9289,,,2410.099667774086,2524.082057380704,2678.001277139208
05123402130000,6831,,,1403.329065300896,1536.578402683605,1547.9330599578852
05123402490100,6630,850.4605,,3663.34485797573,3802.813780879583,4013.215508319401
05123381710000,4060,543.6086,762.0322,1659.441398217957,1868.0144476773348,1964.08673125377
05123382050000,4840,911.0211,678.8931,2851.8941557205403,3104.0497750124987,3588.063850775715
05123382760000,3769,,,1446.177674521517,1182.488536373776,1032.451299467006
05123382960000,6836,1397.11,729.204,2837.7322190825457,2492.497965825874,2382.1172501054402
05123405900000,4552,771.6475,1117.741,2530.577273214094,2434.799663771364,2513.9436075704903
05123406170000,4302,948.0786,1158.285,9093.13725490196,8852.751965689778,8855.084147939131
05123406200000,4511,537.7722,741.9918,4075.5988023952086,3763.406940063091,3810.5300541596366
05123383200000,4053,637.1302,509.6993,1285.847953216374,1528.7124432596,1648.5264389828699
05123393480100,7352,1005.2510000000001,698.3483,3535.2361986945452,3735.28338603746,3468.717217070202
05123393920000,4242,997.8312,571.7132,1528.0707723715539,1502.0613514080069,1546.210826210826
05123363050000,4589,796.2142,1155.4089999999999,5367.37666120517,5274.760686190882,4619.939824945295
05123358360000,3899,1010.135,743.2228,9254.582783399324,9439.272380649772,10531.22548723828
05123352590000,3902,,,3007.5712589073632,3106.178818043224,3402.111452625952
05123381250000,7788,852.2136,1655.135,3149.0673411318357,3113.6979748046556,3210.469434129579
05123381270000,6662,1391.723,630.6504,2274.526678141135,2302.990228491661,2318.9228989165867
05069064790000,6046,534.3511,740.0348,2887.387387387387,2924.7484082973906,2810.818782444549
05069064770000,6082,1153.278,1150.615,1665.7765526746482,1754.818884439891,1805.070614258975
05123382860000,7151,540.4844,932.5022,2380.292188431723,2458.011945729994,2505.980224643567
05123382880000,7237,502.9446,1164.29,2607.621230570876,2700.350957503624,2627.291395372132
05005073300000,9313,,,1560.1467706291949,992.6776855118981,992.6776855118981
05123375860000,4077,1195.6,730.2410000000001,1672.5198667008451,1889.27128535089,1824.495207016112
05123376220000,4103,1021.087,894.3035,726.0934719490491,875.5473327166201,924.015292519744
05123376390100,8640,,,3864.4531714863733,3798.6717500922387,3757.466942672468
05123376790000,4742,538.3076,832.2285,2244.579898870956,2373.031606508322,2481.28798086177
05123377230000,8086,880.3561,1246.617,2075.210109809214,2063.562477738561,2153.867634738899
05123387350000,4307,947.3346,553.694,1741.8520912196468,1943.9018580276322,1946.805681153252
05123387400000,6420,,,1263.010801420046,1141.699445523908,1287.698124182056
05123387890000,4213,987.8699,554.8807,1204.154054900323,1115.6857627561,1134.313020244579
05123377310000,4393,1028.745,725.5579,4677.54553233101,2748.671167935641,2748.671167935641
05123377330000,4146,,,3153.124568906056,2975.799835931091,3188.480635551142
05123377410000,3818,916.1165,686.1649,2695.436507936507,2911.254385133213,3222.3298880275624
05123377730000,3896,606.9875,861.3022,1703.739491738332,1629.461878572198,2084.352418010005
05123377750000,5149,,,4371.596457833319,4450.840202194999,4607.901444350042
05123389090000,4160,1012.747,582.2939,2217.7161926871727,2122.879282218597,2245.775034736808
05123389100000,4111,1049.12,589.6299,1863.2148377125188,2033.030063291139,2287.778353184878
05123389530000,9214,528.3295,768.4291,2733.7631808717842,2816.648080866218,2960.0864919867713
05123378700000,4698,504.2158,804.6033,2743.109056668378,2628.4943704781876,2778.921404427662
05123378180000,7044,821.4655,1311.245,4358.626805168482,4272.809863724853,4222.688074705798
05123379200000,3985,983.6758,668.5115,2703.6288284645702,3021.4246136797383,3379.908408847315
05123391180000,4046,1034.142,908.4888,1085.81548864917,1002.7057878493209,987.199566291187
05001101020000,7187,,,1015.3155282439129,1391.2847989808529,1551.557338367154
05123383010000,8717,635.5579,1047.134,2557.5961237886827,2557.338406186675,2622.483652665543
05123396880000,4668,536.8895,775.5189999999999,4140.676373884452,4075.200778778291,4158.903634313469
05123383060000,4064,1470.594,741.5252,3790.973303004908,4103.060587133041,4597.246772724837
05123383930000,6551,814.7865,1168.9089999999999,2595.278853950806,2687.411864247438,2658.102572505325
05123397920100,9225,798.0468,,3612.0520462310087,3346.0633626097856,3345.817618337572
05123383980000,9189,548.5193,852.0228,2818.0266926686572,3040.857267043364,3329.282692118468
05123385780000,3995,,,2985.654621390956,3767.2126951625282,4149.258542875564
05123386070100,9181,547.7917,835.4279,2732.282596715529,2934.4232788360578,3276.7666793833173
05069064810000,6098,843.6445,1168.119,1928.7626106650189,1822.7995347033732,1615.493674567398
05069064940000,6790,1558.096,803.7252,2513.196201021333,2514.9194938204732,2551.679540783785
05069064960000,6833,2739.3520000000003,1233.421,2246.662797446314,2319.968227655753,2463.477418697114
05123386680000,4019,966.9625,680.637,2287.733797303175,2672.432359671557,3068.0683311432317
05123386910000,5145,973.9171,703.8537,2612.9861780777883,2260.599020990624,2205.134385922622
05123340180000,5760,1028.557,737.6824,8246.06804238706,9041.069898396376,9394.613954753593
05123387130100,6966,,,1262.179191639772,1248.764267098049,1275.019205251763
05123387180000,7466,644.6396,1170.888,1228.702993092862,1196.222159571468,1304.946076608404
05123388480000,3907,901.6008,679.2435,1421.3443116142819,1616.313429794171,1717.362637362637
05123388650000,4142,796.9780000000001,753.1166,4619.756711409395,4613.129154795821,4790.378319388868
05123388830000,4257,1007.75,693.3808,2051.541976013706,1965.946453734147,1533.9930364669228
05123390660000,4135,,,2594.9610780949192,2888.4654068074738,2856.7614261033445
05123390880000,4023,,,2281.101947710124,2126.309239863113,1990.417092137302
05123373010000,4047,304.4698,383.0915,2532.416836388323,2402.721557144087,2134.62220645619
05123391250000,4798,638.7799,1893.651,1882.533621119043,1910.741641885194,2058.0907198197892
05123391820000,3898,813.6258,1149.879,1988.0883765609992,1924.233402798451,2028.834731271824
05123392540000,4575,814.9304,1135.219,2407.6211413391948,2368.266090076827,2559.5153000442488
05123393190000,4290,1025.086,709.6326,2554.49565545901,2676.091882983106,2590.395276837785
05123393720000,4491,799.2292,515.893,1514.86234506965,1448.092594779733,1321.887881286067
05123394160000,9090,1256.5339999999999,848.7166,2627.477700693756,2957.428931522195,3213.3098516383807
05123394450000,9467,935.0982,631.7128,1452.470059880239,1453.081013450109,1518.438518634881
05123389280000,4152,,,1958.4905660377349,2380.689872420853,2503.444388777555
05123389820100,8573,843.3159,1197.755,2556.0540279787742,2339.217354317311,2450.221792945553
05123401080000,6633,853.6325,576.0505,1938.375350140056,1778.402699662542,1903.910614525139
05123401600100,4067,,,2107.245190339746,2105.567375886524,2222.727405205327
05123390060000,4051,1039.0510000000002,590.9152,1558.5919042368869,1537.683051954108,1777.108433734939
05123390380000,6497,,,3110.477710637327,3138.727585986854,3272.800340409436
05123404650000,3954,1004.1260000000001,761.6207,2314.939066137203,2805.228648285137,3268.744679457795
05123405690000,4204,942.7175,774.3669,4548.239506664015,4418.138866064091,4654.672860404692
05123406850000,4313,694.9464,805.2839,1160.437926606744,1155.931945921312,1180.591278212871
05123406910000,3922,869.2811,874.9297,1103.099083369707,1152.20700152207,1045.5404708712829
05123407270000,3903,,,17907.70791075051,18683.939229517087,19161.28412149173
05123390500100,9078,960.9639999999999,668.2094,2195.498348945346,1956.5370886125602,2073.820895522388
05123390680000,9418,932.4989999999999,774.1589,2432.930764266617,2447.887170551078,2860.158764213688
05123391520000,7001,,,1542.115902964959,1886.553290377099,1983.335978416124
05123391690000,3833,,,1113.812154696132,1072.2032387461,1084.482592342559
05123409480000,5109,778.5195,1070.015,7135.286583413384,6830.783302843838,6650.9732910819375
05123391890000,5475,552.2791,781.5248,3582.0579615760325,5009.446861404599,4326.0335195530715
